channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins,firstReplyTimeHours
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tx6QlOmgABS_Q3,inbound,,jvallery (Jason Vallery),"""@jerrynixon @firefox Most mice have a hardware back button.  That's how I navigate.""","EN,Help Me",2018-07-10 17:50:33,2018-07-10 17:50:33,https://twitter.com/statuses/1016741477932650496,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Txa32-UgABSaQl,inbound,,TechPulseNL (TechPulse),"""Mozilla test password manager voor iOS en notitie-app voor Android https://t.co/Bfbbg0Se11 https://t.co/lAeZ8eJIoj""","NL,Firefox iOS,Android,Help Me",2018-07-10 17:48:05,2018-07-10 17:48:05,https://twitter.com/statuses/1016740856676511744,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tv5H2-UgABSaPV,inbound,,Terrykittyman (TerryMcCain),"""@firefox It be neat see fire fox open a new web thing in there browser to make it look fire fox is on fire""",EN,2018-07-10 17:41:54,2018-07-10 17:41:54,https://twitter.com/statuses/1016739301357285377,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tv-AlOmgABS_Oe,inbound,,mike_conley (Mike Conley :mconley 2aff2dd7-8a86-4a92-97c1-25515),"""\o/ Yay Lockbox!

If you're curious about the underlying architecture, check this out: https://t.co/hPYDRraE8J https://t.co/C0gzbgZMz6""","EN,Pending",2018-07-10 17:40:49,2018-07-10 17:40:49,https://twitter.com/statuses/1016739030829027328,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tu7QlOmgABS_N3,inbound,,devinreams (Devin Reams),"""And if you don’t already use @Firefox, I’m curious:
1) why not? and
2) will you reconsider and try it again?https://t.co/7fGWE71qHz""",EN,2018-07-10 17:37:47,2018-07-10 17:37:47,https://twitter.com/statuses/1016738266408599552,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tu7QlOmgABS_N3,inbound,,devinreams (Devin Reams),"""@WookieeBoy @RandomFFUser @firefox Aha. I suppose some of us don’t think twice or notice since we sign on build using the AMO API. Not sure if you’re already aware of it: https://t.co/7ib30Wg259""",EN,2018-07-10 17:37:47,2018-07-10 20:58:57,https://twitter.com/statuses/1016788890873520128,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0Tu7QlOmgABS_N3,inbound,,devinreams (Devin Reams),"""@WookieeBoy @RandomFFUser @firefox Ah, sure. This is probably a non-small reason (amongst many!) for companies and IT departments to deploy ESR into an organization.""",EN,2018-07-10 17:37:47,2018-07-10 21:02:00,https://twitter.com/statuses/1016789661362995200,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TupAlOmgABS_Nj,inbound,,mrazzari (Manuel Razzari),"""1998 / 2018. Entré a https://t.co/GJw8PwbEGV con @firefox https://t.co/HEEVSOTy80""",ES,2018-07-10 17:36:34,2018-07-10 17:36:34,https://twitter.com/statuses/1016737958446227458,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TuFwlOmgABS_M4,inbound,,MarcoBorger1 (Marco Borger),"""Mozilla test wachtwoordbeheerder voor Firefox-logins op iOS zie https://t.co/nvooXzmgED https://t.co/fM1xZCNsrG""","NL,Firefox iOS",2018-07-10 17:33:54,2018-07-10 17:33:54,https://twitter.com/statuses/1016737291140845569,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TskQlOmgABS_K9,inbound,,ruudhaanfotoweb (Ruud Haan (FotoWeb)),"""@Belastingdienst Met Firefox krijg ik nog steeds deze melding: ""Er is een fout opgetreden. Kies 'Ok' om terug te keren naar het tabblad 'Home' in Mijn toeslagen."" Met Chrome lukt inloggen wel.""",NL,2018-07-10 17:27:32,2018-07-10 17:27:32,https://twitter.com/statuses/1016735688778223617,,,
twitter,message,tweet,https://reply.buffer.com/conversations/W0TpD32-UgABSaHJ,inbound,,juliuskoroll (🙏Julius Koroll🙏),"""The good folks of @firefox keep shipping amazing stuff. I just designed a theme with the new color-feature and it's awesome. The feature and the design.""",EN,2018-07-10 17:12:46,2018-07-10 17:12:46,https://twitter.com/statuses/1016731970087374848,,,
