text,tags,locale,convoCreatedAt
"""@botmaverick @jvehent @firefox @mozilla I don't. And neither should anybody else. Not Mozilla, not google, not anybody else.""",EN,en,2018-09-25 18:38:43
"""@botmaverick @jvehent @firefox @mozilla Well - go ahead ...  share away. I don't rely on anybodies servers. Convenience ist not THAT important to me.""",EN,en,2018-09-25 18:38:43
"""Çok önemli bir gelişme""",TR,tr,2018-09-25 18:37:22
"""@mosolicious @jvehent @firefox What happened to ./configure &amp; make &amp; make install? Or even better - apt-get install ? Are you guys not able to create something without polluting everything with python? pysqlite2? PyMySQL?""",EN,en,2018-09-25 18:37:16
"""Found some surprises in here, always good to learn keyboard shortcuts for @firefox 
https://t.co/3mmskAWpWB""",EN,en,2018-09-25 18:36:14
"""@DylangerDaly @Me2Digital @jvehent @firefox @googlechrome \o/ yep, been always doing that - need resources on how to set it up? #fxhelp""","EN,AoA,Help Me",en,2018-09-25 18:33:36
"""@kingslyj @koolhead17 @logic @firefox Thank you for helping that user! \o/ Happy browsing! #fxhelp""","EN,AoA",en,2018-09-25 18:31:32
"""@sergielo_ @cfenollosa @firefox_es Los amigos de @DuckDuckGo tienen resultados instantáneos creados por la comunidad que creo que es lo que estás buscando https://t.co/TikOKqHqiG""",ES,es,2018-09-25 18:28:38
"""@Logan_RTW @firefox is the best browser.""",EN,en,2018-09-25 18:27:27
"""@DrSpree @JI_N_NYC @firefox @googlechrome That is an interesting point. It is true that could be trusting the client-side quite a bit. Let's add it as a feature request! #fxhelp""","EN,AoA",en,2018-09-25 18:26:42
"""@spazef0rze @Ceskasporitelna Někomu už dnes (Firefox Nightly, Chrome Canary).
Jsem rád, že mojí bance (@Air_Bank) na bezpečí záleží a nestaví k tomu jako @Ceskasporitelna formou ""nutné zlo, to vyřešíme při deadline"". :) Symantec certifikáty jsou pofidérní už víc jak rok. https://t.co/nBIGrocMcg""","Nightly,CZ",cs,2018-09-25 18:25:59
"""@fifthgearonline @ShannonZKiller @firefox I am sorry to hear that a video is not playing and an error ""the update is not applicable to your computer"" is showing on a particular site. In order to better help can you share the video link and a screenshot of the about:plugins page? #fxhelp""","EN,AoA,Help Me,Video",en,2018-09-25 18:25:11
"""https://t.co/PGM69cj1Vq
Time to move to a @DuckDuckGo  @firefox or iceweasel  search-browser combo. Should have done so as soon as google redacted the motto ""don't be evil"" in 2015""","EN,No Action Taken",en,2018-09-25 18:24:23
"""I had been wanting to move to @firefox for a while. After reading @matthew_d_green post on how Chrome auto signs you into the browser after logging into a Google site I knew it was time. #privacy""","EN,Help Me",en,2018-09-25 18:21:33
"""Have you been pwned? Have a quick scan at Firefox Monitor @firefox #Firefox""",EN,en,2018-09-25 18:16:54
"""Someday, @firefox will not automatically select ""English (Malawi)"" by default for spellcheck. Although if the past decade is any indicator of the future, perhaps not.""",EN,en,2018-09-25 18:15:57
"""@piotrdrag @firefox Oh nice, those can definitely be removed for me.""",EN,en,2018-09-25 18:15:57
"""@DeannaFBerry @firefox You triggered ‘Utley the Colostomy Bag w/ears’.""",EN,en,2018-09-25 18:14:56
"""Nová služba Firefox Monitor vás upozorní, pokud bylo vaše heslo odcizeno z některé z hacknutých aplikací. https://t.co/ifj1PUYaAz""",CZ,cs,2018-09-25 18:13:41
"""Have you ever seen this @firefox ?
It happen in developer Edition and „normal“ firefox under macOS mojave. Is there a way to reset firefox? It happens in safe mode too. https://t.co/dgFqQ0XZ4l""",EN,en,2018-09-25 18:13:14
"""#RT @PCMag: Have you been pwned? @Firefox tool will tell you: https://t.co/hdYMWsN2O5 https://t.co/ojO1p9Dnny""",EN,en,2018-09-25 18:12:08
"""@liberty_ohio @firefox Yes, how DARE religious liberty be practiced!!""","EN,No Action Taken",en,2018-09-25 18:11:22
"""@LucaTNT @firefox @LRazovic Si sì, hanno fatto una collaborazione 😉""",IT,it,2018-09-25 18:09:31
"""Happy to have switched back to @firefox almost one year ago!""",EN,en,2018-09-25 18:09:11
"""Great! @Firefox monitor is launched (uses @troyhunt's HIBP). Important to be alerted early when your account is in a data breach. 
Wasn't yet launched when I wrote this blog, but in there some other tips and tools to limit the impact of a breach https://t.co/jVzSn89JWX
#Security""",EN,en,2018-09-25 18:06:49
"""Disappointing @firefox https://t.co/pHRUlxtvgr""",EN,en,2018-09-25 18:03:45
"""@firefox Twice as fast.. at ramming you from behind and selling our country to globalist communists..""",EN,en,2018-09-25 18:02:03
"""@mozilla's @firefox Reality web browser solves a critical distribution problem with Virtual Reality. Now I have reason to look forward to WebAR.""","reality,EN",en,2018-09-25 18:01:44
"""🚨 Yeni #FirefoxMonitor, hesaplarınızdan biri saldırıya uğradığında sizi uyaracak 

👉 https://t.co/2RyeVIrcWS 🔸 @MozillaTurkiye 🔸 @ShortMAGorg https://t.co/1QZUwxclpP""",TR,tr,2018-09-25 18:00:56
"""@kingslyj @koolhead17 @firefox It kinda broke in quantum I guess? (At least saved passwords) I think 3 months of use transports fully. Takes few seconds extra once a while, but not having export tool should no longer be an excuse""",EN,en,2018-09-25 17:59:47
"""#MozillaFirefoxMonitor will tell you when your passwords are compromised @mozilla @firefox
https://t.co/ykiOwZ5u7M""",EN,en,2018-09-25 17:58:50
"""@kingslyj @logic @firefox not that i can see, help help. :)""","EN,Help Me,Sync",en,2018-09-25 17:58:29
"""@kingslyj @logic @firefox It was easy. Got it . Dump as HTML  from Chrome and Import it in FF. :)""","EN,Help Me,Sync",en,2018-09-25 17:58:29
"""@guigs_mozilla @kingslyj @logic @firefox well now stuck at disconnecting sync, I hope it gets done soon. :) https://t.co/9ol7UWvVs5""","EN,Help Me,Sync",en,2018-09-25 17:58:29
"""@koolhead17 @logic Doesn't @firefox import it directly?""","EN,Bookmarks,Help Me,Solved",en,2018-09-25 17:57:18
"""@koolhead17 @logic @firefox Bookmarks -&gt; Show All Bookmarks -&gt; https://t.co/DADkgFgtqn""","EN,Bookmarks,Help Me,Solved",en,2018-09-25 17:57:18
"""@tryoung @jvehent @firefox The current Firefox Sync can be self-hosted, I am talking to some people to see if we can get the information updated. The last info I can find is here- 
https://t.co/CvWnj4tK95""","Sync,EN,Press Release,No Action Taken,Help Me",en,2018-09-25 17:56:59
"""La gente de Mozilla se ha sacado de la manga esta herramienta web similar a 'Have I been Pwned' para saber si hemos usado nuestro mail en sitios cuya seguridad ha sido comprometida. #FirefoxMonitor @Firefox_ES https://t.co/dhSgbMV6qx""",ES,es,2018-09-25 17:55:22
"""Even more reason, @mozilla @firefox ought to be your default browser.
https://t.co/3wFMXDEBPU""",EN,en,2018-09-25 17:55:21
"""@firefox @LRazovic Sembra la copia di https://t.co/5pX9kiaeJq""",IT,it,2018-09-25 17:43:06
"""@jvehent @firefox A regular reminder I'll trust the good folks over at @firefox and @mozilla with even my Personal data""",EN,en,2018-09-25 17:42:57
"""@mischmerz @jvehent @firefox @mozilla You know they can sell your data. Yet they develop obscure tech that even prevents them from accessing your data. IF that's not a bond of trust for you, I don't know what will be""",EN,en,2018-09-25 17:42:57
"""@SirScoots @InferNorse HLTV embed fails if you have disabled trackers via @firefox or via @PrivacyBadger . Zucc really needs those trackers to function""",EN,en,2018-09-25 17:40:18
"""@jvehent @firefox You can even host your own sync server, so your data stays on your server.

https://t.co/BM4Zt9YQc1""","Sync,EN,Help Me,self-hos",en,2018-09-25 17:39:56
"""@Me2Digital @jvehent @firefox @googlechrome 😲 I didn't know you could do this, they allow you to ""Sync"" to your own server now?!""","Sync,EN,Help Me,self-hos",en,2018-09-25 17:34:58
"""@guigs_mozilla @Me2Digital @jvehent @firefox @googlechrome Awesome! I should be fine, I'll get it going on one of my VPS'es, great work! ❤️""","Sync,EN,Help Me,self-hos",en,2018-09-25 17:34:58
"""@Me2Digital @jvehent @firefox @googlechrome Thanks heaps!""","Sync,EN,Help Me,self-hos",en,2018-09-25 17:34:58
"""@matthew_d_green ...i was unaware of this.  another reason why @firefox is the best web browser""",EN,en,2018-09-25 17:32:41
"""God I really hate the new @googlechrome . What does it even mean to log into the browser? @MSEdgeDev please don't follow and slap this in Edge too. I really don't want my browsers to be a service please. Thankful we have @firefox that legit gives a shit about the user.""","EN,Not Fan Luv",en,2018-09-25 17:31:44
"""@epatryk @firefox You seem to have forgotten about a problem called Safari and IE""",EN,en,2018-09-25 17:30:31
"""Firefox Monitor is a great way to scan if you've been in a data breach, and THEN you can sign up to get alerted if it happens in the future. Check it out.""",EN,en,2018-09-25 17:29:02
"""after the quantumm update i switched to  @firefox""","EN,Fan Luv",en,2018-09-25 17:26:08
