channel,source,type,convo,direction,user,contact,text,tags,convoCreatedAt,itemCreatedAt,external,firstReplyTimeSecs,firstReplyTimeMins
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""<a class=""tweet-url username"" href=""https://twitter.com/firefox"" data-screen-name=""firefox"" target=""_blank"" rel=""nofollow"">@firefox</a> I did not screenshot where, if I recall correctly, a person was calling it <a href=""https://twitter.com/#!/search?q=%23malware"" title=""#malware"" class=""tweet-url hashtag"" target=""_blank"" rel=""nofollow"">#malware</a>. In my opinion it seems more accurate to describe it as some political <a href=""https://twitter.com/#!/search?q=%23spyware"" title=""#spyware"" class=""tweet-url hashtag"" target=""_blank"" rel=""nofollow"">#spyware</a> <a href=""https://twitter.com/#!/search?q=%23firefox"" title=""#firefox"" class=""tweet-url hashtag"" target=""_blank"" rel=""nofollow"">#firefox</a> <a href=""https://twitter.com/#!/search?q=%23addon"" title=""#addon"" class=""tweet-url hashtag"" target=""_blank"" rel=""nofollow"">#addon</a>. I suspect that this may be some 3rd party unaffiliated with <a href=""https://twitter.com/#!/search?q=%23firefox"" title=""#firefox"" class=""tweet-url hashtag"" target=""_blank"" rel=""nofollow"">#firefox</a>. However (continued)""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 14:43:15,https://twitter.com/statuses/1013432854838161408,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox However, (Continued) I do not believe that I can simply block the Twitter user associated with the FF Addon and stop it from tracking me or anyone else, imo tracked based solely on political ideology. Further, the issue exacerbated by malicious opinion or claim that..(more)""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 14:49:59,https://twitter.com/statuses/1013434549487972352,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox (more) longstanding Firefox user, such as myself, are being unfairly smeared without recourse. So the question is: What is the easiest and quickest way to #uninstall #firefox completely and will that resolve the issue or will this continue? Very disconcerting.""","EN,Help Me",2018-06-28 14:11:51,2018-07-01 14:55:26,https://twitter.com/statuses/1013435918215274498,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox The issue now is you did not respond at all after being made aware of the problem.""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 2:38:26,https://twitter.com/statuses/1017599102970982400,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@firefox I am assuming there is some toolbar/addon/app builder that any half-witted village idiot can put on Firefox, but when it demands personal information ( or else ) to be removed from it or publicly libels someone, even though Firefox was repeatedly made aware has gone too far.""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 12:47:16,https://twitter.com/statuses/1017752320078221312,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@RandomFFUser @firefox What can we do? A restraining order against a Firefox addon?""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 13:12:34,https://twitter.com/statuses/1017758685802659841,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@RandomFFUser @firefox The twitter data being collected is not the only issue.""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 13:26:27,https://twitter.com/statuses/1017762180903702529,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@RandomFFUser @firefox Did you actually read that?""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 13:31:16,https://twitter.com/statuses/1017763391023218688,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsqYI3eAABX9Lr,inbound,,ChanBahlumII (ChanBahlum II),"""@RandomFFUser @firefox Absolutely not. I and other will not be harassed into silence or protected tweets. Do not contact me further.""","EN,Help Me",2018-06-28 14:11:51,2018-07-13 13:35:29,https://twitter.com/statuses/1017764454921056258,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTsByOwpAABJmen,inbound,,MrTonyBones (Tony B),"""Oh man, @firefox quantum is currently better than the current version of @googlechrome""","EN,Help Me",2018-06-28 14:09:11,2018-06-28 14:09:11,https://twitter.com/statuses/1012337115810746369,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTrKPT9WAABHiNY,inbound,,Martijns_Site (Martijn's Site),"""Mozilla geeft details over data verzamelen in testversies Firefox https://t.co/JFlYkcrNfU""","EN,Help Me",2018-06-28 14:05:17,2018-06-28 14:05:17,https://twitter.com/statuses/1012336132787490817,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTpbSOwpAABJmc-,inbound,,Imperfectie (Quavius Takeoffio),"""@shreksuelemeid ah maar echt gebruik Firefox man scheelt 30% ram usage en geen tegenover chrome! en ublock origin is ook mandatory""","EN,Help Me",2018-06-28 13:57:54,2018-06-28 13:57:54,https://twitter.com/statuses/1012334277420371968,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTpQII3eAABX9KK,inbound,,TheCoop48 (The C👀p🌤️),"""What's with these SCAMMY constant interruptions attempting to make us download some flash thing that we don't want? 

2 days in a row, I'm interrupted in the middle of typing. Do I need to get rid of @mozilla @firefox Permanently?

#Firefox #Mozilla #SCAM""","EN,Help Me",2018-06-28 13:57:19,2018-06-28 13:57:19,https://twitter.com/statuses/1012334128505683968,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTpQII3eAABX9KK,inbound,,TheCoop48 (The C👀p🌤️),"""@MkllSUMO @mozilla @firefox Thanks--I'll give this a try. The site that came up automatically was: https://t.co/DSGXreX6dC""","EN,Help Me",2018-06-28 13:57:19,2018-06-29 9:56:43,https://twitter.com/statuses/1012635969294667776,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTo-4I3eAABX9KE,inbound,,actueelitnieuws (Actueel ICT-nieuws),"""Mozilla geeft details over data verzamelen in testversies Firefox https://t.co/mTgkbSdvnW -Scrty""","EN,Help Me",2018-06-28 13:56:00,2018-06-28 13:56:00,https://twitter.com/statuses/1012333798623596544,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTo8YI3eAABX9KC,inbound,,giordi63 (giordano alborghetti),"""@carolafrediani @CEPS_thinktank Si potrebbe molto più semplicemente, proporre e utilizzare software e sistemi operativi #OpenSource ? Grazie. Tipo @libreoffice @firefox @Linux solo per fare qualche esempio. Perché è inutile parlare di #cybersecurity quando si utilizza un SO colabrodo con i suoi sw #perdire""","EN,Help Me",2018-06-28 13:55:59,2018-06-28 13:55:59,https://twitter.com/statuses/1012333796241403905,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTo8YI3eAABX9KC,inbound,,giordi63 (giordano alborghetti),"""@LEXELrecords @carolafrediani @CEPS_thinktank @libreoffice @firefox @Linux Parto dal fondo: certo chi risolve le vulnerabilità va incentivato, ma questo è tipico delle comunità #opensource e #eticahacker. Certo il SO e i sw perfetti non esistono, ma di certo quelli #opensource e #freesoftware sono più stabili, privi di errori e sicuri di @WindowsItalia""","EN,Help Me",2018-06-28 13:55:59,2018-06-28 20:42:11,https://twitter.com/statuses/1012436017465495553,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzToyTC1xAABh9Nl,inbound,,TRTeknoloji0 (TR Bɪʟɪᴍ & Tᴇᴋɴᴏʟᴏᴊɪ),"""Google’dan Nokia cep telefonlarının işletim sistemine yatırım

Google, Mozilla’nın Firefox OS işletim sisteminin küllerinden yükselen cep telefonu işletim sistemi KaiOS’a 22 milyon dolarlık yatırım yaptı. Google bir yandan Android ile akıllı telefon düny… https://t.co/sxHfZHPYQD""","EN,Help Me",2018-06-28 13:55:10,2018-06-28 13:55:10,https://twitter.com/statuses/1012333590439448576,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTojDC1xAABh9Ni,inbound,,TEBVolution (TEBVolution),"""@Firefox Kudos to the team, looks like your #Spectre v1 mitigation introduced in 57.0.4 still stands above the rest, please keep up the good work; via: https://t.co/Y9XqOkmICB https://t.co/3X639QMKNp""","EN,Help Me",2018-06-28 13:54:18,2018-06-28 13:54:18,https://twitter.com/statuses/1012333372646002688,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTm14I3eAABX9I7,inbound,,Gumichan01 (Gumichan01),"""We're baking Have I Been Pwned into @firefox and #iPassword 

#security #Mozilla #Firefox #privacy #blog #article 

https://t.co/WLs8QV8rc3""","EN,Help Me",2018-06-28 13:47:02,2018-06-28 13:47:02,https://twitter.com/statuses/1012331541308035072,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTj_fT9WAABHiKp,inbound,,mehradrafigh (Mehrad Rafigh),"""Go @firefox https://t.co/YFIQMXxVRP""","EN,Help Me",2018-06-28 13:34:50,2018-06-28 13:34:50,https://twitter.com/statuses/1012328471773765632,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTjujC1xAABh9LU,inbound,,cocodotts (Ir•vin),"""Haha, no. https://t.co/uA4NMU7xFc""","EN,Help Me",2018-06-28 13:33:44,2018-06-28 13:33:44,https://twitter.com/statuses/1012328196723937280,,
twitter,message,tweet,https://reply.buffer.com/conversations/WzTi7zC1xAABh9LA,inbound,,XperienceIS (Xperience Internet Solutions),"""Mozilla geeft details over data verzamelen in testversies Firefox https://t.co/6uA69LphTp""","EN,Help Me",2018-06-28 13:30:11,2018-06-28 13:30:11,https://twitter.com/statuses/1012327301911056385,,
